state,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
A & N Islands,337881,343638,349360,355049,360703,366321,371892,377380,382741,387944,392975,397844,402578,407217
Andhra Pradesh,75091027,76370514,77642239,78906584,80162976,81411678,82649680,83869318,85060748,86217146,87335253,88417423,89469527,90500449
Arunachal Pradesh,1228476,1249409,1270214,1290898,1311453,1331881,1352135,1372088,1391579,1410498,1428790,1446494,1463706,1480572
Assam,27704389,28176448,28645644,29112116,29575655,30036356,30493109,30943088,31382658,31809304,32221823,32621084,33009251,33389604
Bihar,92419755,93994510,95559710,97115828,98662157,100199022,101722716,103223810,104690185,106113445,107489577,108821479,110116377,111385205
Chandigarh,937031,952997,968867,984644,1000322,1015904,1031353,1046572,1061439,1075870,1089822,1103326,1116455,1129319
Chhattisgarh,22679091,23065524,23449612,23831471,24210928,24588063,24961966,25330322,25690159,26039416,26377108,26703947,27021705,27333065
D & N Haveli,305146,310345,315513,320651,325756,330831,335862,340818,345659,350359,354902,359300,363575,367765
Daman & Diu,215955,219635,223292,226929,230542,234133,237693,241201,244627,247953,251169,254281,257307,260271
Delhi,14904376,15158334,15410751,15661704,15911078,16158925,16404649,16646728,16883208,17112734,17334661,17549454,17758280,17962902
Goa,1294900,1316964,1338894,1360697,1382363,1403896,1425244,1446276,1466822,1486763,1506044,1524706,1542849,1560626
Gujarat,53658511,54572806,55481555,56385030,57282822,58175119,59059770,59931298,60782669,61609007,62407984,63181281,63933092,64669769
Haryana,22507092,22890594,23271769,23650732,24027311,24401586,24772653,25138216,25495324,25841932,26177063,26501423,26816771,27125770
Himachal Pradesh,6094411,6198255,6301468,6404083,6506052,6607397,6707874,6806860,6903557,6997410,7088156,7175985,7261374,7345044
Jammu & Kashmir,11134199,11323917,11512483,11699955,11886248,12071401,12254967,12435810,12612470,12783936,12949725,13110185,13266186,13419048
Jharkhand,29286948,29785973,30281970,30775089,31265107,31752124,32234969,32710651,33175332,33626349,34062433,34484500,34894841,35296920
Karnataka,54240558,55164772,56083377,56996653,57904184,58806160,59700406,60581388,61441995,62277296,63084940,63866624,64626591,65371259
Kerala,29657985,30163332,30665613,31164979,31661205,32154392,32643354,33125063,33595630,34052362,34493970,34921384,35336924,35744097
Lakshadweep,57239,58215,59184,60148,61105,62057,63001,63931,64839,65720,66573,67398,68200,68985
Madhya Pradesh,64478264,65576919,66668908,67754561,68833385,69905605,70968638,72015902,73038944,74031906,74991989,75921214,76824622,77709842
Maharashtra,99766215,101466147,103155766,104835580,106504827,108163857,109808670,111429086,113012024,114548418,116033940,117471715,118869544,120239232
Manipur,2535381,2578582,2621520,2664210,2706631,2748792,2790592,2831772,2872000,2911045,2948796,2985335,3020858,3055666
Meghalaya,2634012,2678893,2723502,2767852,2811923,2855725,2899151,2941933,2983725,3024289,3063509,3101469,3138375,3174537
Mizoram,974102,990700,1007197,1023599,1039897,1056096,1072155,1087977,1103432,1118433,1132938,1146976,1160624,1173998
Nagaland,1756519,1786449,1816197,1845772,1875161,1904371,1933330,1961860,1989729,2016780,2042934,2068248,2092859,2116974
Odisha,37264816,37899777,38530886,39158332,39781832,40401515,41015888,41621148,42212409,42786285,43341159,43878199,44400318,44911926
Puducherry,1107936,1126814,1145578,1164233,1182770,1201194,1219460,1237456,1255035,1272097,1288594,1304561,1320084,1335295
Punjab,24630605,25050290,25467428,25882146,26294255,26703842,27109919,27509972,27900773,28280083,28646833,29001796,29346897,29685050
Rajasthan,60857475,61894435,62925103,63949791,64968033,65980043,66983381,67971836,68937429,69874631,70780800,71657844,72510521,73346032
Sikkim,542072,551308,560489,569616,578686,587700,596637,605441,614042,622390,630461,638273,645868,653310
Tamil Nadu,64052315,65143712,66228488,67306969,68378666,69443803,70499813,71540159,72556443,73542845,74496586,75419672,76317112,77196485
Tripura,3261713,3317290,3372529,3427448,3482022,3536262,3590036,3643014,3694765,3744996,3793563,3840569,3886269,3931049
Uttar Pradesh,177393899,180416541,183420844,186407715,189375796,192325711,195250347,198131602,200946216,203678073,206319472,208875975,211361449,213796885
Uttarakhand,8954635,9107215,9258869,9409642,9559467,9708376,9856008,10001450,10143529,10281430,10414764,10543814,10669277,10792215
West Bengal,81035164,82415935,83788328,85152758,86508605,87856154,89192154,90508338,91794080,93042017,94248632,95416466,96551854,97664383
telangana,,,,,,,,,,,,,,35190000
